Date,Team1,Team2,Score (Team1 - Team2),FullTimeResult,Venue,City,Attendance,Goal Scorers Team 1,Goal Scorers Team 2,Team 1 Possession percentage,Team 2 Possession percentage,Team 1 Shots on Goal,Team 2 Shots on Goal,Team 1 Shot Attempts,Team 2 Shot Attempts,Team 1 Yellow Cards,Team 2 Yellow Cards,Team 1 Corner Kicks,Team 2 Corner Kicks,Team 1 Saves,Team 2 Saves
2026-01-05,South Africa,Cameroon,1 - 2,FT,Stade El Barid,Rabat,14127,Evidence Makgopa - 88',Junior Tchamadeu - 34'Christian Kofane - 47',66,33,4,4,18,10,5,2,6,3,2,3
2026-01-05,Egypt,Benin,3 - 1,AET,Le Grand Stade Agadir,Agadir,20191,Marwan Attia - 69'Yasser Ibrahim - 97'Mohamed Salah - 120'+4',Jodel Dossou - 83',55,44,7,3,12,8,4,4,5,5,3,2
2026-01-06,Nigeria,Mozambique,4 - 0,FT,Complexe Sportif de Fès,Fès,14593,Ademola Lookman - 20'Victor Osimhen - 25', 47'Akor Adams - 75',,61,38,9,0,22,2,3,1,5,0,0,5
2026-01-06,Algeria,Congo DR,1 - 0,AET,Stade Prince Moulay Al Hassan,Rabat,18837,Adil Boulbina - 119',,57,42,6,2,12,6,3,2,5,6,2,5
2026-01-07,Ivory Coast,Burkina Faso,3 - 0,FT,Stade de Marrakech,Marrakech,24019,Amad - 20'Yan Diomande - 32'Bazoumana Touré - 87',,57,42,4,2,21,8,2,1,5,2,2,1
2026-01-09,Mali,Senegal,0 - 1,FT,Ibn Batouta Stadium,Tanger,32385,,Iliman Ndiaye - 27',35,64,2,8,8,19,1,5,5,7,7,2
2026-01-10,Cameroon,Morocco,0 - 2,FT,Stade Prince Moulay Abdallah,Rabat,64178,,Brahim Díaz - 26'Ismael Saibari - 74',59,40,0,3,5,9,2,2,4,7,1,0
2026-01-10,Algeria,Nigeria,0 - 2,FT,Stade de Marrakech,Marrakech,32452,,Victor Osimhen - 47'Akor Adams - 57',42,57,0,5,3,13,5,3,2,4,3,0
2026-01-11,Egypt,Ivory Coast,3 - 2,FT,Le Grand Stade Agadir,Agadir,31213,Omar Marmoush - 4'Ramy Rabia - 32' Mohamed Salah - 52',Ahmed Fatouh - 40' OGGuela Doué - 73',28,71,4,4,6,13,2,0,3,7,3,1
2026-01-14,Senegal,Egypt,1 - 0,FT,Ibn Batouta Stadium,Tanger,52079,Sadio Mané - 78',,63,36,4,1,12,3,2,1,7,1,1,3
2026-01-15,Nigeria,Morocco,0 - 0,FT-Pens,Stade Prince Moulay Abdallah,Rabat,65458,, ,51,48,1,5,2,16,2,0,1,5,5,1
2026-01-17,Egypt,Nigeria,0 - 0,FT-Pens,Mohamed V Stadium,Casablanca,38113,, ,53,46,1,4,5,4,0,3,2,4,4,1
2026-01-19,Senegal,Morocco,1 - 0,AET,Stade Prince Moulay Abdallah,Rabat,66526,Pape Gueye - 94',,50,49,7,4,14,21,5,2,8,10,4,6
